ticker,market,sector,name,market_cap,rank,as_of,source,source_as_of
005930,KOSPI,통신 및 방송 장비 제조업,삼성전자,,1,2019-04-30,krx_pykrx,2019-04-30
000660,KOSPI,반도체 제조업,SK하이닉스,,2,2019-04-30,krx_pykrx,2019-04-30
005380,KOSPI,자동차용 엔진 및 자동차 제조업,현대차,,3,2019-04-30,krx_pykrx,2019-04-30
068270,KOSPI,기초 의약물질 제조업,셀트리온,,4,2019-04-30,krx_pykrx,2019-04-30
051910,KOSPI,기초 화학물질 제조업,LG화학,,5,2019-04-30,krx_pykrx,2019-04-30
012330,KOSPI,자동차 신품 부품 제조업,현대모비스,,6,2019-04-30,krx_pykrx,2019-04-30
207940,KOSPI,기초 의약물질 제조업,삼성바이오로직스,,7,2019-04-30,krx_pykrx,2019-04-30
005490,KOSPI,1차 철강 제조업,POSCO홀딩스,,8,2019-04-30,krx_pykrx,2019-04-30
051900,KOSPI,기타 화학제품 제조업,LG생활건강,,9,2019-04-30,krx_pykrx,2019-04-30
055550,KOSPI,기타 금융업,신한지주,,10,2019-04-30,krx_pykrx,2019-04-30
017670,KOSPI,전기 통신업,SK텔레콤,,11,2019-04-30,krx_pykrx,2019-04-30
035420,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",NAVER,,12,2019-04-30,krx_pykrx,2019-04-30
028260,KOSPI,기타 전문 도매업,삼성물산,,13,2019-04-30,krx_pykrx,2019-04-30
105560,KOSPI,기타 금융업,KB금융,,14,2019-04-30,krx_pykrx,2019-04-30
000270,KOSPI,자동차용 엔진 및 자동차 제조업,기아,,15,2019-04-30,krx_pykrx,2019-04-30
015760,KOSPI,전기업,한국전력,,16,2019-04-30,krx_pykrx,2019-04-30
034730,KOSPI,기타 금융업,SK,,17,2019-04-30,krx_pykrx,2019-04-30
032830,KOSPI,보험업,삼성생명,,18,2019-04-30,krx_pykrx,2019-04-30
096770,KOSPI,석유 정제품 제조업,SK이노베이션,,19,2019-04-30,krx_pykrx,2019-04-30
018260,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",삼성에스디에스,,20,2019-04-30,krx_pykrx,2019-04-30
